Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.900000	i	1.111000	d	0.200000	min	-255.000000	max	255.000000
vinkel	34.209999	error	26.790001	ønsked vinkel	61	shardpwm	41	tid delat	0.001003
vinkel	34.389999	error	26.610001	ønsked vinkel	61	shardpwm	84	tid delat	0.005965
vinkel	35.980000	error	25.020000	ønsked vinkel	61	shardpwm	-228	tid delat	0.001004
vinkel	36.230000	error	24.770000	ønsked vinkel	61	shardpwm	37	tid delat	0.000999
vinkel	36.500000	error	24.500000	ønsked vinkel	61	shardpwm	78	tid delat	0.006042
vinkel	37.930000	error	23.070000	ønsked vinkel	61	shardpwm	-204	tid delat	0.000989
vinkel	38.200001	error	22.799999	ønsked vinkel	61	shardpwm	75	tid delat	0.005973
vinkel	39.580002	error	21.419998	ønsked vinkel	61	shardpwm	-193	tid delat	0.001002
vinkel	39.849998	error	21.150002	ønsked vinkel	61	shardpwm	26	tid delat	0.000997
vinkel	40.099998	error	20.900002	ønsked vinkel	61	shardpwm	72	tid delat	0.006006
vinkel	41.590000	error	19.410000	ønsked vinkel	61	shardpwm	-222	tid delat	0.000992
vinkel	41.830002	error	19.169998	ønsked vinkel	61	shardpwm	31	tid delat	0.001050
vinkel	42.060001	error	18.939999	ønsked vinkel	61	shardpwm	69	tid delat	0.005963
vinkel	43.430000	error	17.570000	ønsked vinkel	61	shardpwm	-201	tid delat	0.000991
vinkel	43.700001	error	17.299999	ønsked vinkel	61	shardpwm	22	tid delat	0.001044
vinkel	43.919998	error	17.080002	ønsked vinkel	61	shardpwm	66	tid delat	0.005956
vinkel	45.110001	error	15.889999	ønsked vinkel	61	shardpwm	-166	tid delat	0.001000
vinkel	45.419998	error	18.580002	ønsked vinkel	64	shardpwm	255	tid delat	0.001026
vinkel	45.680000	error	18.320000	ønsked vinkel	64	shardpwm	67	tid delat	0.005975
vinkel	47.119999	error	16.880001	ønsked vinkel	64	shardpwm	-215	tid delat	0.000998
vinkel	47.430000	error	16.570000	ønsked vinkel	64	shardpwm	10	tid delat	0.000995
vinkel	47.709999	error	16.290001	ønsked vinkel	64	shardpwm	63	tid delat	0.006003
vinkel	48.639999	error	15.360001	ønsked vinkel	64	shardpwm	-114	tid delat	0.001001
vinkel	48.680000	error	15.320000	ønsked vinkel	64	shardpwm	69	tid delat	0.006031
vinkel	49.709999	error	14.290001	ønsked vinkel	64	shardpwm	-136	tid delat	0.001001
vinkel	49.880001	error	14.119999	ønsked vinkel	64	shardpwm	33	tid delat	0.000979
vinkel	49.959999	error	14.040001	ønsked vinkel	64	shardpwm	65	tid delat	0.005993
vinkel	50.630001	error	13.369999	ønsked vinkel	64	shardpwm	-67	tid delat	0.000993
vinkel	50.740002	error	13.259998	ønsked vinkel	64	shardpwm	45	tid delat	0.001005
vinkel	50.849998	error	13.150002	ønsked vinkel	64	shardpwm	63	tid delat	0.006031
vinkel	51.310001	error	12.689999	ønsked vinkel	64	shardpwm	-27	tid delat	0.000985
vinkel	51.380001	error	12.619999	ønsked vinkel	64	shardpwm	51	tid delat	0.000995
vinkel	51.430000	error	12.570000	ønsked vinkel	64	shardpwm	64	tid delat	0.006001
vinkel	51.490002	error	12.509998	ønsked vinkel	64	shardpwm	53	tid delat	0.000984
vinkel	51.419998	error	12.580002	ønsked vinkel	64	shardpwm	79	tid delat	0.001014
vinkel	51.389999	error	12.610001	ønsked vinkel	64	shardpwm	67	tid delat	0.005003
vinkel	51.259998	error	12.740002	ønsked vinkel	64	shardpwm	92	tid delat	0.001015
vinkel	51.139999	error	12.860001	ønsked vinkel	64	shardpwm	91	tid delat	0.000965
vinkel	51.000000	error	13.000000	ønsked vinkel	64	shardpwm	71	tid delat	0.006003
vinkel	50.360001	error	13.639999	ønsked vinkel	64	shardpwm	195	tid delat	0.001009
vinkel	50.200001	error	13.799999	ønsked vinkel	64	shardpwm	100	tid delat	0.000993
vinkel	50.040001	error	13.959999	ønsked vinkel	64	shardpwm	74	tid delat	0.006010
vinkel	49.099998	error	14.900002	ønsked vinkel	64	shardpwm	255	tid delat	0.000990
vinkel	48.919998	error	15.080002	ønsked vinkel	64	shardpwm	106	tid delat	0.001010
vinkel	48.730000	error	15.270000	ønsked vinkel	64	shardpwm	77	tid delat	0.005991
vinkel	47.610001	error	16.389999	ønsked vinkel	64	shardpwm	255	tid delat	0.000999
vinkel	47.400002	error	16.599998	ønsked vinkel	64	shardpwm	115	tid delat	0.001005
vinkel	47.279999	error	16.720001	ønsked vinkel	64	shardpwm	78	tid delat	0.006006
vinkel	46.200001	error	17.799999	ønsked vinkel	64	shardpwm	255	tid delat	0.000994
vinkel	45.939999	error	18.060001	ønsked vinkel	64	shardpwm	129	tid delat	0.000993
vinkel	45.740002	error	18.259998	ønsked vinkel	64	shardpwm	84	tid delat	0.006016
vinkel	44.630001	error	19.369999	ønsked vinkel	64	shardpwm	255	tid delat	0.000995
vinkel	44.310001	error	19.689999	ønsked vinkel	64	shardpwm	91	tid delat	0.005998
vinkel	43.419998	error	23.580002	ønsked vinkel	67	shardpwm	255	tid delat	0.001015
vinkel	43.250000	error	23.750000	ønsked vinkel	67	shardpwm	122	tid delat	0.001004
vinkel	43.080002	error	23.919998	ønsked vinkel	67	shardpwm	94	tid delat	0.005980
vinkel	42.299999	error	24.700001	ønsked vinkel	67	shardpwm	246	tid delat	0.000995
vinkel	42.169998	error	24.830002	ønsked vinkel	67	shardpwm	116	tid delat	0.001007
vinkel	42.040001	error	24.959999	ønsked vinkel	67	shardpwm	95	tid delat	0.006006
vinkel	41.590000	error	25.410000	ønsked vinkel	67	shardpwm	182	tid delat	0.000989
vinkel	41.389999	error	25.610001	ønsked vinkel	67	shardpwm	130	tid delat	0.001035
vinkel	41.299999	error	25.700001	ønsked vinkel	67	shardpwm	95	tid delat	0.005981
vinkel	40.869999	error	26.130001	ønsked vinkel	67	shardpwm	179	tid delat	0.001001
vinkel	40.849998	error	26.150002	ønsked vinkel	67	shardpwm	97	tid delat	0.000991
vinkel	40.799999	error	26.200001	ønsked vinkel	67	shardpwm	95	tid delat	0.005992
vinkel	40.619999	error	26.380001	ønsked vinkel	67	shardpwm	130	tid delat	0.000994
vinkel	40.700001	error	26.299999	ønsked vinkel	67	shardpwm	78	tid delat	0.001012
vinkel	40.709999	error	26.290001	ønsked vinkel	67	shardpwm	93	tid delat	0.006020
vinkel	40.599998	error	26.400002	ønsked vinkel	67	shardpwm	116	tid delat	0.000975
vinkel	40.610001	error	26.389999	ønsked vinkel	67	shardpwm	94	tid delat	0.006000
vinkel	40.619999	error	26.380001	ønsked vinkel	67	shardpwm	92	tid delat	0.001007
vinkel	40.610001	error	26.389999	ønsked vinkel	67	shardpwm	96	tid delat	0.000989
vinkel	40.610001	error	26.389999	ønsked vinkel	67	shardpwm	94	tid delat	0.006000
vinkel	40.840000	error	26.160000	ønsked vinkel	67	shardpwm	48	tid delat	0.001003
vinkel	40.790001	error	26.209999	ønsked vinkel	67	shardpwm	104	tid delat	0.001008
vinkel	40.900002	error	26.099998	ønsked vinkel	67	shardpwm	90	tid delat	0.005995
vinkel	41.410000	error	25.590000	ønsked vinkel	67	shardpwm	-6	tid delat	0.001020
vinkel	41.549999	error	25.450001	ønsked vinkel	67	shardpwm	65	tid delat	0.000991
vinkel	41.689999	error	25.310001	ønsked vinkel	67	shardpwm	88	tid delat	0.005985
vinkel	42.630001	error	24.369999	ønsked vinkel	67	shardpwm	-95	tid delat	0.001006
vinkel	42.799999	error	24.200001	ønsked vinkel	67	shardpwm	56	tid delat	0.000992
vinkel	43.000000	error	24.000000	ønsked vinkel	67	shardpwm	84	tid delat	0.006000
vinkel	43.939999	error	23.060001	ønsked vinkel	67	shardpwm	-97	tid delat	0.001007
vinkel	44.220001	error	22.779999	ønsked vinkel	67	shardpwm	32	tid delat	0.001002
vinkel	44.470001	error	22.529999	ønsked vinkel	67	shardpwm	79	tid delat	0.005992
vinkel	45.770000	error	21.230000	ønsked vinkel	67	shardpwm	-166	tid delat	0.001030
vinkel	46.070000	error	20.930000	ønsked vinkel	67	shardpwm	23	tid delat	0.000976
vinkel	46.369999	error	20.630001	ønsked vinkel	67	shardpwm	74	tid delat	0.005996
vinkel	48.009998	error	18.990002	ønsked vinkel	67	shardpwm	-245	tid delat	0.001003
vinkel	48.279999	error	18.720001	ønsked vinkel	67	shardpwm	27	tid delat	0.001005
vinkel	48.720001	error	21.279999	ønsked vinkel	70	shardpwm	188	tid delat	0.004997
vinkel	50.150002	error	19.849998	ønsked vinkel	70	shardpwm	-203	tid delat	0.000996
vinkel	50.560001	error	19.439999	ønsked vinkel	70	shardpwm	1	tid delat	0.001010
vinkel	51.009998	error	18.990002	ønsked vinkel	70	shardpwm	67	tid delat	0.005992
vinkel	53.099998	error	16.900002	ønsked vinkel	70	shardpwm	-255	tid delat	0.000989
vinkel	53.480000	error	16.520000	ønsked vinkel	70	shardpwm	2	tid delat	0.001015
vinkel	53.860001	error	16.139999	ønsked vinkel	70	shardpwm	64	tid delat	0.006017
vinkel	55.730000	error	14.270000	ønsked vinkel	70	shardpwm	-255	tid delat	0.000993
vinkel	56.040001	error	13.959999	ønsked vinkel	70	shardpwm	10	tid delat	0.000997
vinkel	56.360001	error	13.639999	ønsked vinkel	70	shardpwm	61	tid delat	0.005991
vinkel	57.840000	error	12.160000	ønsked vinkel	70	shardpwm	-227	tid delat	0.000998
vinkel	58.139999	error	11.860001	ønsked vinkel	70	shardpwm	9	tid delat	0.001011
vinkel	58.430000	error	11.570000	ønsked vinkel	70	shardpwm	58	tid delat	0.006023
vinkel	59.849998	error	10.150002	ønsked vinkel	70	shardpwm	-223	tid delat	0.000983
vinkel	60.220001	error	9.779999	ønsked vinkel	70	shardpwm	-10	tid delat	0.000982
vinkel	60.599998	error	9.400002	ønsked vinkel	70	shardpwm	51	tid delat	0.005999
vinkel	61.740002	error	8.259998	ønsked vinkel	70	shardpwm	-163	tid delat	0.001009
vinkel	61.939999	error	8.060001	ønsked vinkel	70	shardpwm	55	tid delat	0.005990
vinkel	62.810001	error	7.189999	ønsked vinkel	70	shardpwm	-114	tid delat	0.000995
vinkel	62.950001	error	7.049999	ønsked vinkel	70	shardpwm	32	tid delat	0.001009
vinkel	63.080002	error	6.919998	ønsked vinkel	70	shardpwm	55	tid delat	0.006011
vinkel	63.610001	error	6.389999	ønsked vinkel	70	shardpwm	-48	tid delat	0.000986
vinkel	63.869999	error	6.130001	ønsked vinkel	70	shardpwm	6	tid delat	0.001012
vinkel	63.990002	error	6.009998	ønsked vinkel	70	shardpwm	54	tid delat	0.005988
vinkel	64.150002	error	5.849998	ønsked vinkel	70	shardpwm	25	tid delat	0.000998
vinkel	64.160004	error	5.839996	ønsked vinkel	70	shardpwm	55	tid delat	0.001019
vinkel	64.169998	error	5.830002	ønsked vinkel	70	shardpwm	57	tid delat	0.005986
vinkel	63.939999	error	6.060001	ønsked vinkel	70	shardpwm	104	tid delat	0.000999
vinkel	63.889999	error	6.110001	ønsked vinkel	70	shardpwm	68	tid delat	0.000997
vinkel	63.840000	error	6.160000	ønsked vinkel	70	shardpwm	60	tid delat	0.006003
vinkel	63.680000	error	6.320000	ønsked vinkel	70	shardpwm	90	tid delat	0.001003
vinkel	63.570000	error	6.430000	ønsked vinkel	70	shardpwm	81	tid delat	0.000990
vinkel	63.470001	error	6.529999	ønsked vinkel	70	shardpwm	63	tid delat	0.005004
vinkel	63.009998	error	6.990002	ønsked vinkel	70	shardpwm	150	tid delat	0.001021
vinkel	62.860001	error	7.139999	ønsked vinkel	70	shardpwm	90	tid delat	0.000996
vinkel	62.750000	error	7.250000	ønsked vinkel	70	shardpwm	64	tid delat	0.005991
vinkel	61.900002	error	8.099998	ønsked vinkel	70	shardpwm	233	tid delat	0.000994
vinkel	61.650002	error	8.349998	ønsked vinkel	70	shardpwm	111	tid delat	0.001030
vinkel	61.430000	error	11.570000	ønsked vinkel	73	shardpwm	176	tid delat	0.005973
vinkel	60.720001	error	12.279999	ønsked vinkel	73	shardpwm	214	tid delat	0.000988
vinkel	60.610001	error	12.389999	ønsked vinkel	73	shardpwm	92	tid delat	0.001010
vinkel	60.509998	error	12.490002	ønsked vinkel	73	shardpwm	74	tid delat	0.005994
vinkel	59.830002	error	13.169998	ønsked vinkel	73	shardpwm	207	tid delat	0.001008
vinkel	59.730000	error	13.270000	ønsked vinkel	73	shardpwm	92	tid delat	0.001001
vinkel	59.470001	error	13.529999	ønsked vinkel	73	shardpwm	83	tid delat	0.004997
vinkel	58.450001	error	14.549999	ønsked vinkel	73	shardpwm	255	tid delat	0.000999
vinkel	58.349998	error	14.650002	ønsked vinkel	73	shardpwm	95	tid delat	0.000994
vinkel	58.209999	error	14.790001	ønsked vinkel	73	shardpwm	80	tid delat	0.006005
vinkel	57.680000	error	15.320000	ønsked vinkel	73	shardpwm	182	tid delat	0.000999
vinkel	57.509998	error	15.490002	ønsked vinkel	73	shardpwm	110	tid delat	0.001002
vinkel	57.310001	error	15.689999	ønsked vinkel	73	shardpwm	83	tid delat	0.005998
vinkel	56.919998	error	16.080002	ønsked vinkel	73	shardpwm	156	tid delat	0.001000
vinkel	56.669998	error	16.330002	ønsked vinkel	73	shardpwm	127	tid delat	0.001026
vinkel	56.660000	error	16.340000	ønsked vinkel	73	shardpwm	78	tid delat	0.005979
vinkel	56.439999	error	16.560001	ønsked vinkel	73	shardpwm	123	tid delat	0.000992
vinkel	56.430000	error	16.570000	ønsked vinkel	73	shardpwm	81	tid delat	0.001004
vinkel	56.439999	error	16.560001	ønsked vinkel	73	shardpwm	78	tid delat	0.006024
vinkel	56.439999	error	16.560001	ønsked vinkel	73	shardpwm	79	tid delat	0.000981
vinkel	56.470001	error	16.529999	ønsked vinkel	73	shardpwm	78	tid delat	0.006020
vinkel	57.080002	error	15.919998	ønsked vinkel	73	shardpwm	-43	tid delat	0.001000
vinkel	57.270000	error	15.730000	ønsked vinkel	73	shardpwm	39	tid delat	0.000999
vinkel	57.419998	error	15.580002	ønsked vinkel	73	shardpwm	72	tid delat	0.005973
vinkel	58.099998	error	14.900002	ønsked vinkel	73	shardpwm	-56	tid delat	0.001024
vinkel	58.180000	error	14.820000	ønsked vinkel	73	shardpwm	59	tid delat	0.000983
vinkel	58.369999	error	14.630001	ønsked vinkel	73	shardpwm	69	tid delat	0.005998
vinkel	59.560001	error	13.439999	ønsked vinkel	73	shardpwm	-155	tid delat	0.001037
vinkel	59.950001	error	13.049999	ønsked vinkel	73	shardpwm	-9	tid delat	0.000951
vinkel	60.310001	error	12.689999	ønsked vinkel	73	shardpwm	60	tid delat	0.006004
vinkel	61.810001	error	11.189999	ønsked vinkel	73	shardpwm	-226	tid delat	0.001013
vinkel	62.130001	error	10.869999	ønsked vinkel	73	shardpwm	58	tid delat	0.005992
vinkel	64.120003	error	8.879997	ønsked vinkel	73	shardpwm	-255	tid delat	0.000997
vinkel	64.459999	error	8.540001	ønsked vinkel	73	shardpwm	-3	tid delat	0.001004
vinkel	64.820000	error	8.180000	ønsked vinkel	73	shardpwm	51	tid delat	0.006001
vinkel	66.580002	error	6.419998	ønsked vinkel	73	shardpwm	-255	tid delat	0.001010
vinkel	66.910004	error	6.089996	ønsked vinkel	73	shardpwm	-6	tid delat	0.000992
vinkel	67.330002	error	8.669998	ønsked vinkel	76	shardpwm	150	tid delat	0.006003
vinkel	69.449997	error	6.550003	ønsked vinkel	76	shardpwm	-255	tid delat	0.001019
vinkel	69.839996	error	6.160004	ønsked vinkel	76	shardpwm	-18	tid delat	0.000985
vinkel	70.290001	error	5.709999	ønsked vinkel	76	shardpwm	44	tid delat	0.005990
vinkel	72.209999	error	3.790001	ønsked vinkel	76	shardpwm	-255	tid delat	0.001000
vinkel	72.699997	error	3.300003	ønsked vinkel	76	shardpwm	-42	tid delat	0.001004
vinkel	73.080002	error	2.919998	ønsked vinkel	76	shardpwm	41	tid delat	0.006003
vinkel	74.610001	error	1.389999	ønsked vinkel	76	shardpwm	-255	tid delat	0.000995
vinkel	74.900002	error	1.099998	ønsked vinkel	76	shardpwm	-7	tid delat	0.001002
vinkel	75.220001	error	0.779999	ønsked vinkel	76	shardpwm	39	tid delat	0.006011
vinkel	76.660004	error	-0.660004	ønsked vinkel	76	shardpwm	-244	tid delat	0.000988
vinkel	76.870003	error	-0.870003	ønsked vinkel	76	shardpwm	39	tid delat	0.006035
vinkel	77.709999	error	-1.709999	ønsked vinkel	76	shardpwm	-128	tid delat	0.000966
vinkel	77.889999	error	-1.889999	ønsked vinkel	76	shardpwm	9	tid delat	0.001009
vinkel	78.050003	error	-2.050003	ønsked vinkel	76	shardpwm	39	tid delat	0.005983
vinkel	78.699997	error	-2.699997	ønsked vinkel	76	shardpwm	-85	tid delat	0.001007
vinkel	78.800003	error	-2.800003	ønsked vinkel	76	shardpwm	23	tid delat	0.001009
vinkel	78.949997	error	-2.949997	ønsked vinkel	76	shardpwm	37	tid delat	0.005986
vinkel	79.139999	error	-3.139999	ønsked vinkel	76	shardpwm	5	tid delat	0.001017
